Ciudades,Freq,lat,lot
Chicago,68,41.8755616,-87.6244212
New York,62,40.7127281,-74.0060152
Houston,57,29.7589382,-95.3676974
Los Angeles,56,34.0536909,-118.242766
Dallas,42,32.7762719,-96.7968559
Atlanta,40,33.7489924,-84.3902644
Miami,39,25.7741728,-80.19362
Philadelphia,38,39.9527237,-75.1635262
San Diego,37,32.7174202,-117.1627728
Pittsburgh,35,40.4416941,-79.9900861
Orlando,35,28.5421109,-81.3790304
Charlotte,34,35.2272086,-80.8430827
Boston,32,42.3602534,-71.0582912
Cleveland,31,41.5051613,-81.6934446
Las Vegas,31,36.1672559,-115.148516
San Antonio,29,29.4246002,-98.4951405
Jacksonville,28,30.3321838,-81.655651
Nashville,27,36.1622767,-86.7742984
Tampa,25,27.9477595,-82.458444
Austin,25,30.2711286,-97.7436995
Minneapolis,23,44.9772995,-93.2654692
Columbus,23,39.9622601,-83.0007065
Washington,23,38.8949924,-77.0365581
Rochester,23,43.157285,-77.615214
Brooklyn,22,40.6526006,-73.9497211
Phoenix,21,33.4484367,-112.0741417
Denver,20,39.7392364,-104.9848623
Raleigh,20,35.7803977,-78.6390989
Indianapolis,20,39.7683331,-86.1583502
Seattle,19,47.6038321,-122.3300624
Greenville,19,34.851354,-82.3984882
Lexington,18,38.0464066,-84.4970393
Baltimore,18,39.2908816,-76.610759
St. Louis,17,38.6529545,-90.24111656024635
Wilmington,17,39.7459468,-75.546589
California,17,36.7014631,-118.755997
San Francisco,17,37.7790262,-122.419906
Birmingham,16,52.4796992,-1.9026911
Sacramento,16,38.5810606,-121.493895
Cincinnati,16,39.1014537,-84.5124602
Kansas City,16,39.100105,-94.5781416
Springfield,16,39.7990175,-89.6439575
Tulsa,15,36.1556805,-95.9929113
Fort Worth,15,32.753177,-97.3327459
Buffalo,15,42.8867166,-78.8783922
El Paso,15,31.7754152,-106.464634
Long Beach,15,33.7690164,-118.191604
Madison,15,43.074761,-89.3837613
Detroit,15,42.3315509,-83.0466403
Richmond,14,37.5385087,-77.43428
Ontario,14,50.000678,-86.000977
San Jose,14,37.3361905,-121.890583
