Brand,Ciudades,Freq,lat,lot
Rubbermaid,Toronto,5,42.2590531,-85.63995804263892
Rubbermaid,Ontario,4,42.2590531,-85.63995804263892
Nexxus,Miami,3,25.7813034,-100.30184039898356
Nexxus,Philadelphia,2,25.7813034,-100.30184039898356
Clorox,Raleigh,2,34.0797054,-117.23501099958955
Rubbermaid,Philadelphia,2,42.2590531,-85.63995804263892
Nexxus,New York,2,25.7813034,-100.30184039898356
Tide,Newburyport,2,44.0689714,-123.8417316
Clear Scalp & Hair Therapy,Chicago,2,0,0
Nexxus,Chicago,2,25.7813034,-100.30184039898356
Nexxus,San Mateo,2,25.7813034,-100.30184039898356
Nexxus,San Diego,2,25.7813034,-100.30184039898356
L'oreal Paris,St. Louis,2,-16.5080675,-68.1262832
Pendaflex,Los Angeles,2,0,0
Tide,Baltimore,2,44.0689714,-123.8417316
Rubbermaid,Calgary,2,42.2590531,-85.63995804263892
Rubbermaid,Winnipeg,2,42.2590531,-85.63995804263892
Nexxus,Dallas,2,25.7813034,-100.30184039898356
L'Oreal Paris,Encinitas,1,-16.5080675,-68.1262832
Clorox,Dickinson,1,34.0797054,-117.23501099958955
Clorox,Detroit,1,34.0797054,-117.23501099958955
Tide,Des Moines,1,44.0689714,-123.8417316
Clear Scalp & Hair Therapy,Fort Lauderdale,1,0,0
Rubbermaid,Fort Lauderdale,1,42.2590531,-85.63995804263892
Clorox,Fort Wayne,1,34.0797054,-117.23501099958955
Head & Shoulders,Fort Wayne,1,30.5291554,-97.6878799
Clorox,Fort Worth,1,34.0797054,-117.23501099958955
Rubbermaid,Fresno,1,42.2590531,-85.63995804263892
Nexxus,Ft Lauderdale,1,25.7813034,-100.30184039898356
L'Oreal Paris,Galesburg,1,-16.5080675,-68.1262832
Tide,Garden Grove,1,44.0689714,-123.8417316
Nexxus,Grafton,1,25.7813034,-100.30184039898356
Rubbermaid,Denver,1,42.2590531,-85.63995804263892
Clorox,Grand Forks,1,34.0797054,-117.23501099958955
Pendaflex,Grayslake,1,0,0
Tide,Fort Collins,1,44.0689714,-123.8417316
Rubbermaid,Forrest,1,42.2590531,-85.63995804263892
Hoover,Elkhorn,1,33.4060825,-86.78985769796296
Clorox,Florida,1,34.0797054,-117.23501099958955
Rubbermaid,Edmonton,1,42.2590531,-85.63995804263892
Clear Scalp & Hair Therapy,Edmonton,1,0,0
OxiClean,Ennis,1,4.7526689,-74.1085512
Rubbermaid Lock-Its,Enon Valley,1,0,0
Rubbermaid,Erie,1,42.2590531,-85.63995804263892
Axe,Etown,1,45.7918263,11.246211
Tide,Fair Oaks,1,44.0689714,-123.8417316
Tide,Fairhaven,1,44.0689714,-123.8417316
L'Oreal Paris,Fairport,1,-16.5080675,-68.1262832
L'Oreal Paris,Easton,1,-16.5080675,-68.1262832
L'Oreal Paris,Fayetteville,1,-16.5080675,-68.1262832
Tide,Felts Mills,1,44.0689714,-123.8417316
L'Oreal Paris,East Chicago,1,-16.5080675,-68.1262832
Nexxus,Durango,1,25.7813034,-100.30184039898356
L'Oreal Paris,Dover,1,-16.5080675,-68.1262832
Clorox,Fayetteville,1,34.0797054,-117.23501099958955
Lemi Shine,Yuma,1,0,0
Nexxus,Green Bay,1,25.7813034,-100.30184039898356
NYX,Katy,1,49.8073011,23.9776509
Nexxus,Irvine,1,25.7813034,-100.30184039898356
Nexxus,Jacksonville,1,25.7813034,-100.30184039898356
Rubbermaid,Jacksonville,1,42.2590531,-85.63995804263892
Rubbermaid,Jacksonville Beach,1,42.2590531,-85.63995804263892
Clear Scalp & Hair Therapy,Janesville,1,0,0
Rubbermaid,Jasper,1,42.2590531,-85.63995804263892
Clorox,Kansas City,1,34.0797054,-117.23501099958955
Nexxus,Kansas City,1,25.7813034,-100.30184039898356
Rubbermaid,Kansas City,1,42.2590531,-85.63995804263892
Hoover,Kenosha,1,33.4060825,-86.78985769796296
Clorox,Indianapolis,1,34.0797054,-117.23501099958955
L'Oreal Paris,Killen,1,-16.5080675,-68.1262832
Rubbermaid,Kingston,1,42.2590531,-85.63995804263892
Clorox,Kingstree,1,34.0797054,-117.23501099958955
Rubbermaid,Kirkland,1,42.2590531,-85.63995804263892
Rubbermaid,Kitchener,1,42.2590531,-85.63995804263892
Rubbermaid,Knoxville,1,42.2590531,-85.63995804263892
Lemi Shine,La Luz,1,0,0
Tide,La Puente,1,44.0689714,-123.8417316
Rubbermaid,Lafayette Parish,1,42.2590531,-85.63995804263892
Lemi Shine,Indianapolis,1,0,0
Clorox,Indiana,1,34.0797054,-117.23501099958955
Rubbermaid,Greenfield,1,42.2590531,-85.63995804263892
L'oreal Paris,Hillsboro,1,-16.5080675,-68.1262832
Nexxus,Greer,1,25.7813034,-100.30184039898356
Clorox,Haleyville,1,34.0797054,-117.23501099958955
Rubbermaid,Halifax Regional Municipality,1,42.2590531,-85.63995804263892
OxiClean,Harrison,1,4.7526689,-74.1085512
Rubbermaid,Haymarket,1,42.2590531,-85.63995804263892
OxiClean,Hedgesville,1,4.7526689,-74.1085512
OxiClean,Hendersonville,1,4.7526689,-74.1085512
L'Oreal Paris,Hermitage,1,-16.5080675,-68.1262832
L'Oreal Paris,Hillsboro,1,-16.5080675,-68.1262832
Clorox,Hixson,1,34.0797054,-117.23501099958955
Clorox,Humble,1,34.0797054,-117.23501099958955
