Brand,Ciudades,Freq,lat,lot
L'oreal Paris,Miami,14,42.2590531,-85.63995804263892
Clorox,Charlotte,13,42.2590531,-85.63995804263892
Clorox,California,13,25.7813034,-100.30184039898356
L'oreal Paris,Los Angeles,12,25.7813034,-100.30184039898356
Tide,Chicago,11,34.0797054,-117.23501099958955
Clorox,Houston,11,42.2590531,-85.63995804263892
Clorox,Atlanta,11,25.7813034,-100.30184039898356
Clorox,Chicago,11,44.0689714,-123.8417316
Tide,New York,10,0,0
Clorox,North Carolina,10,25.7813034,-100.30184039898356
Clorox,Florida,10,25.7813034,-100.30184039898356
Clorox,Georgia,10,25.7813034,-100.30184039898356
Clorox,San Diego,9,-16.5080675,-68.1262832
Tide,Orlando,9,0,0
Clorox,Raleigh,9,44.0689714,-123.8417316
Clorox,Boston,9,42.2590531,-85.63995804263892
Clorox,Texas,9,42.2590531,-85.63995804263892
L'oreal Paris,New York,9,25.7813034,-100.30184039898356
Tide,Austin,9,-16.5080675,-68.1262832
Tide,Philadelphia,9,34.0797054,-117.23501099958955
Tide,Cleveland,9,34.0797054,-117.23501099958955
Clorox,Ohio,9,44.0689714,-123.8417316
Pendaflex,Chicago,8,0,0
Nexxus,New York,8,42.2590531,-85.63995804263892
L'oreal Paris,Atlanta,8,34.0797054,-117.23501099958955
Clorox,Virginia,7,30.5291554,-97.6878799
L'Oreal Paris,Jacksonville,7,34.0797054,-117.23501099958955
Tide,San Antonio,7,42.2590531,-85.63995804263892
Clorox,Cleveland,7,25.7813034,-100.30184039898356
L'oreal Paris,Houston,7,-16.5080675,-68.1262832
L'oreal Paris,Boston,7,44.0689714,-123.8417316
L'oreal Paris,Dallas,7,25.7813034,-100.30184039898356
Lemi Shine,Indianapolis,7,42.2590531,-85.63995804263892
Clorox,Greenville,6,34.0797054,-117.23501099958955
Clorox,Jacksonville,6,0,0
Tide,Milwaukee,6,44.0689714,-123.8417316
Clorox,Wilmington,6,42.2590531,-85.63995804263892
L'oreal Paris,Long Beach,6,33.4060825,-86.78985769796296
Clear Scalp & Hair Therapy,Houston,6,34.0797054,-117.23501099958955
Pendaflex,Los Angeles,6,42.2590531,-85.63995804263892
Tide,Los Angeles,6,0,0
Clorox,Miami,6,4.7526689,-74.1085512
L'oreal Paris,Chicago,6,0,0
Clorox,New York,6,42.2590531,-85.63995804263892
L'Oreal Paris,Spokane,6,45.7918263,11.246211
Tide,Omaha,6,44.0689714,-123.8417316
Clorox,Birmingham,6,44.0689714,-123.8417316
Tide,Dallas,6,-16.5080675,-68.1262832
Clorox,Dallas,6,-16.5080675,-68.1262832
L'Oreal Paris,Orlando,6,-16.5080675,-68.1262832
Tide,Houston,6,44.0689714,-123.8417316
Tide,Tampa,6,-16.5080675,-68.1262832
Clorox,Columbus,5,25.7813034,-100.30184039898356
L'Oreal Paris,Dallas,5,-16.5080675,-68.1262832
Clorox,Wichita,5,34.0797054,-117.23501099958955
Tide,Pittsburgh,5,0,0
Head & Shoulders,Houston,5,25.7813034,-100.30184039898356
Pendaflex,Pittsburgh,5,49.8073011,23.9776509
L'oreal Paris,Pittsburgh,5,25.7813034,-100.30184039898356
Clorox,Pittsburgh,5,25.7813034,-100.30184039898356
Clorox,Nashville,5,42.2590531,-85.63995804263892
L'Oreal Paris,Philadelphia,5,42.2590531,-85.63995804263892
Clorox,Memphis,5,0,0
L'Oreal Paris,Chicago,5,42.2590531,-85.63995804263892
Rubbermaid,Edmonton,5,34.0797054,-117.23501099958955
Clorox,El Paso,5,25.7813034,-100.30184039898356
L'Oreal Paris,San Diego,5,42.2590531,-85.63995804263892
Tide,Miami,5,33.4060825,-86.78985769796296
Tide,Evansville,5,34.0797054,-117.23501099958955
Clorox,Tampa,5,-16.5080675,-68.1262832
Lemi Shine,San Antonio,5,42.2590531,-85.63995804263892
Tide,Bronx,5,34.0797054,-117.23501099958955
Clorox,Orlando,5,42.2590531,-85.63995804263892
Rubbermaid,Ontario,5,42.2590531,-85.63995804263892
Tide,Minneapolis,5,42.2590531,-85.63995804263892
Clorox,Sacramento,5,0,0
Clear Scalp & Hair Therapy,Boston,5,44.0689714,-123.8417316
L'oreal Paris,Columbus,5,42.2590531,-85.63995804263892
Tide,Washington,5,0,0
Tide,Denver,5,34.0797054,-117.23501099958955
Clorox,Las Vegas,5,42.2590531,-85.63995804263892
Rubbermaid,St. Louis,5,-16.5080675,-68.1262832
L'Oreal Paris,Las Vegas,5,25.7813034,-100.30184039898356
Tide,Las Vegas,5,34.0797054,-117.23501099958955
Clorox,Michigan,4,42.2590531,-85.63995804263892
Clorox,Columbia,4,4.7526689,-74.1085512
Nexxus,Chicago,4,42.2590531,-85.63995804263892
L'Oreal Paris,Colorado Springs,4,4.7526689,-74.1085512
Tide,El Paso,4,4.7526689,-74.1085512
L'Oreal Paris,Cleveland,4,-16.5080675,-68.1262832
Tide,Richmond,4,-16.5080675,-68.1262832
Head & Shoulders,Dallas,4,34.0797054,-117.23501099958955
Clorox,Pensacola,4,34.0797054,-117.23501099958955
Clorox,Charleston,4,42.2590531,-85.63995804263892
Clorox,Philadelphia,4,44.0689714,-123.8417316
L'oreal Paris,Lancaster,4,0,0
L'oreal Paris,Lexington,4,25.7813034,-100.30184039898356
L'Oreal Paris,Riverside,4,42.2590531,-85.63995804263892
L'Oreal Paris,Staten Island,4,12.741086899999999,10.29814392620261
Clorox,Los Angeles,4,-16.5080675,-68.1262832
Clorox,Minneapolis,4,0,0
L'Oreal Paris,Fort Worth,4,44.0689714,-123.8417316
Head & Shoulders,Orlando,4,42.2590531,-85.63995804263892
Tide,Columbus,4,-16.5080675,-68.1262832
L'Oreal Paris,Broken Arrow,4,4.7526689,-74.1085512
Rubbermaid,Winnipeg,4,42.2590531,-85.63995804263892
L'Oreal Paris,Auburn,4,42.2590531,-85.63995804263892
Tide,Oklahoma City,4,42.2590531,-85.63995804263892
Clorox,San Jose,4,44.0689714,-123.8417316
L'Oreal Paris,Katy,4,-16.5080675,-68.1262832
Tide,San Diego,4,42.2590531,-85.63995804263892
L'oreal Paris,Philadelphia,4,0,0
Clorox,Kansas,4,42.2590531,-85.63995804263892
Tide,Greenville,4,49.8073011,23.9776509
Clorox,Baltimore,4,25.7813034,-100.30184039898356
Tide,Portland,4,42.2590531,-85.63995804263892
L'oreal Paris,Raleigh,4,25.7813034,-100.30184039898356
Head & Shoulders,Chesapeake,4,42.2590531,-85.63995804263892
Clorox,Illinois,4,42.2590531,-85.63995804263892
Tide,Saint Louis,4,34.0797054,-117.23501099958955
L'Oreal Paris,Charlotte,4,30.5291554,-97.6878799
L'Oreal Paris,San Antonio,4,-16.5080675,-68.1262832
Tide,Nashville,4,44.0689714,-123.8417316
Tide,Tucson,4,42.2590531,-85.63995804263892
Tide,Brooklyn,4,42.2590531,-85.63995804263892
Vaseline,Detroit,4,0,0
Tide,Charlotte,4,-16.5080675,-68.1262832
Clorox,Durham,4,4.7526689,-74.1085512
Clorox,Lincoln,4,44.0689714,-123.8417316
Clorox,Massachusetts,4,25.7813034,-100.30184039898356
L'Oreal Paris,Mattoon,4,0,0
Clorox,Phoenix,4,34.0797054,-117.23501099958955
Tide,Madison,4,0,0
